workerid,proliferate.condition,alt_status,block_num,condition,first_response_value,item,item_number,item_type,mode,response,sentence_id,sentence_text,trial_sequence_total,wrong_attempts,error
642,Experiment Group,gram,4,GRAM,,44,,,b,1,44f,How did you learn to speak French so fluently?,22,,
642,Experiment Group,ungram,4,UNGRAM,,53,,,b,0,53f,Special commander does spy the initiated the what believe that?,23,,
642,Experiment Group,alternative,4,CSC,,13,,,b,0.98,13b,The captain brought a map and what else?,24,,
642,Experiment Group,alternative,5,CSC,,15,,,b,1,15b,The woman listens to the Beatles and who else?,25,,
642,Experiment Group,alternative,5,LBC,,4,,,b,1,4b,How many dogs did they see at the park?,26,,
642,Experiment Group,alternative,5,HDN,,23,,,b,1,23b,The boy plays videogames every day.,27,,
642,Experiment Group,alternative,5,SUB,,35,,,b,1,35b,The family compromised on where to go for vacation.,28,,
642,Experiment Group,ungram,5,UNGRAM,,52,,,b,0.01,52f,Do activists bribed claim officials the that the who?,29,,
642,Experiment Group,gram,5,GRAM,,43,,,b,1,43f,What are you planning to do this weekend?,30,,
642,Experiment Group,target,6,CSC,,13,,,b,0.79,13a,What did the captain bring a map and?,31,,
642,Experiment Group,target,6,LBC,,3,,,b,0.22,3a,How many do you read books in a year?,32,,
642,Experiment Group,gram,6,GRAM,,50,,,b,1,50f,How did they solve the problem with the leaking roof?,33,,
642,Experiment Group,target,6,SUB,,32,,,b,0.62,32a,The group decided for a restaurant for dinner.,34,,
642,Experiment Group,target,6,HDN,,24,,,b,0.44,24a,The tourist her favorite restaurant visited.,35,,
642,Experiment Group,ungram,6,UNGRAM,,59,,,b,0,59f,Of charge the who in is organizing charity event?,36,,
642,Experiment Group,gram,7,GRAM,,44,,,b,1,44f,How did you learn to speak French so fluently?,37,,
642,Experiment Group,ungram,7,UNGRAM,,55,,,b,0,55f,Lead pianist to what claim the does believe that can practice?,38,,
642,Experiment Group,target,7,CSC,,11,,,b,0.07,11a,What did the farmer harvest corn and?,39,,
642,Experiment Group,target,7,LBC,,5,,,b,0,5a,How many did you fit in your locker books?,40,,
642,Experiment Group,target,7,HDN,,23,,,b,0.07,23a,The boy video games plays every day.,41,,
642,Experiment Group,target,7,SUB,,31,,,b,0.07,31a,The policeman relied for his instincts to catch the thief.,42,,
642,Experiment Group,ungram,8,UNGRAM,,56,,,b,0,56f,Arriving at the when station next train is the?,43,,
642,Experiment Group,gram,8,GRAM,,49,,,b,1,49f,Who is responsible for cleaning up the mess in the kitchen?,44,,
642,Experiment Group,target,8,SUB,,33,,,b,0.7,33a,The committee agreed for the budget for the park.,45,,
642,Experiment Group,target,8,HDN,,22,,,b,0.52,22a,The kitten all of the milk drank.,46,,
642,Experiment Group,target,8,CSC,,14,,,b,0.51,14a,What did the boy purchase milk and?,47,,
642,Experiment Group,target,8,LBC,,2,,,b,0.46,2a,How many do you take pills in a day?,48,,
642,Experiment Group,ungram,9,UNGRAM,,57,,,b,0,57f,What the neighborhood the outage in caused sudden power?,49,,
642,Experiment Group,target,9,LBC,,1,,,b,0.42,1a,How many did you see cookies in the jar?,50,,
642,Experiment Group,target,9,CSC,,15,,,b,0.53,15a,Who does the woman listen to the Beatles and?,51,,
642,Experiment Group,target,9,SUB,,35,,,b,0.59,35a,The family compromised for where to go for vacation.,52,,
642,Experiment Group,target,9,HDN,,21,,,b,0.06,21a,The child surely the chocolate cake ate.,53,,
642,Experiment Group,gram,9,GRAM,,44,,,b,1,44f,How did you learn to speak French so fluently?,54,,
642,Experiment Group,target,10,LBC,,4,,,b,0.12,4a,How many did they see dogs at the park?,55,,
642,Experiment Group,target,10,SUB,,34,,,b,1,34a,The bride insisted for this venue for her wedding.,56,,
642,Experiment Group,target,10,HDN,,25,,,b,0.09,25a,The citizens the new bill voted on.,57,,
642,Experiment Group,target,10,CSC,,12,,,b,0.26,12a,Who does the critic dislike the actor and?,58,,
642,Experiment Group,ungram,10,UNGRAM,,56,,,b,0,56f,Arriving at the when station next train is the?,59,,
642,Experiment Group,gram,10,GRAM,,42,,,b,1,42f,Why did the price of groceries increase suddenly?,60,,
378,Experiment Group,,,,,,practice_good,practice_good,,0.97,,,0,0,
378,Experiment Group,,,,,,practice_bad,practice_bad,,0.01,,,0,0,
378,Experiment Group,gram,1,GRAM,,48,,,a,1,48f,Who won the award for best actor at last year's Oscar?,1,,
378,Experiment Group,ungram,1,UNGRAM,,53,,,a,0.01,53f,Special commander does spy the initiated the what believe that?,2,,
378,Experiment Group,target,1,SUB,,35,,,a,0.78,35a,The family compromised for where to go for vacation.,3,,
378,Experiment Group,target,1,LBC,,3,,,a,0,3a,How many do you read books in a year?,4,,
378,Experiment Group,target,1,CSC,,14,,,a,0.02,14a,What did the boy purchase milk and?,5,,
378,Experiment Group,target,1,HDN,,21,,,a,0.12,21a,The child surely the chocolate cake ate.,6,,
378,Experiment Group,target,2,LBC,,1,,,a,0.03,1a,How many did you see cookies in the jar?,7,,
378,Experiment Group,ungram,2,UNGRAM,,56,,,a,0,56f,Arriving at the when station next train is the?,8,,
378,Experiment Group,gram,2,GRAM,,49,,,a,1,49f,Who is responsible for cleaning up the mess in the kitchen?,9,,
378,Experiment Group,target,2,CSC,,11,,,a,0.7,11a,What did the farmer harvest corn and?,10,,
378,Experiment Group,target,2,SUB,,31,,,a,0.1,31a,The policeman relied for his instincts to catch the thief.,11,,
378,Experiment Group,target,2,HDN,,22,,,a,0.12,22a,The kitten all of the milk drank.,12,,
378,Experiment Group,gram,3,GRAM,,41,,,a,0.97,41f,Who is going to the party tonight?,13,,
378,Experiment Group,target,3,LBC,,2,,,a,0.09,2a,How many do you take pills in a day?,14,,
378,Experiment Group,target,3,CSC,,12,,,a,0.77,12a,Who does the critic dislike the actor and?,15,,
378,Experiment Group,target,3,SUB,,34,,,a,0.55,34a,The bride insisted for this venue for her wedding.,16,,
378,Experiment Group,ungram,3,UNGRAM,,60,,,a,0,60f,To recipe what I do need ingredients make this?,17,,
378,Experiment Group,target,3,HDN,,23,,,a,0.07,23a,The boy video games plays every day.,18,,
378,Experiment Group,target,4,HDN,,25,,,a,0.1,25a,The citizens the new bill voted on.,19,,
378,Experiment Group,target,4,SUB,,32,,,a,0.36,32a,The group decided for a restaurant for dinner.,20,,
378,Experiment Group,target,4,LBC,,4,,,a,0.02,4a,How many did they see dogs at the park?,21,,
378,Experiment Group,gram,4,GRAM,,41,,,a,1,41f,Who is going to the party tonight?,22,,
378,Experiment Group,ungram,4,UNGRAM,,59,,,a,0.01,59f,Of charge the who in is organizing charity event?,23,,
378,Experiment Group,target,4,CSC,,13,,,a,0.8,13a,What did the captain bring a map and?,24,,
378,Experiment Group,target,5,HDN,,24,,,a,0.05,24a,The tourist her favorite restaurant visited.,25,,
378,Experiment Group,target,5,SUB,,33,,,a,0.63,33a,The committee agreed for the budget for the park.,26,,
378,Experiment Group,target,5,CSC,,15,,,a,0.77,15a,Who does the woman listen to the Beatles and?,27,,
378,Experiment Group,ungram,5,UNGRAM,,58,,,a,0,58f,Long how does it take to airport to drive the?,28,,
378,Experiment Group,target,5,LBC,,5,,,a,0.03,5a,How many did you fit in your locker books?,29,,
378,Experiment Group,gram,5,GRAM,,46,,,a,0.98,46f,Where did you find the missing keys?,30,,
378,Experiment Group,alternative,6,HDN,,24,,,a,1,24b,The tourist visited her favorite restaurant.,31,,
378,Experiment Group,alternative,6,CSC,,14,,,a,1,14b,The boy purchased milk and what else?,32,,
378,Experiment Group,alternative,6,LBC,,3,,,a,0.99,3b,How many books do you read in a year?,33,,
378,Experiment Group,ungram,6,UNGRAM,,59,,,a,0.01,59f,Of charge the who in is organizing charity event?,34,,
378,Experiment Group,alternative,6,SUB,,31,,,a,0.99,31b,The policeman relied on his instincts to catch the thief.,35,,
378,Experiment Group,gram,6,GRAM,,43,,,a,0.98,43f,What are you planning to do this weekend?,36,,
378,Experiment Group,gram,7,GRAM,,44,,,a,0.99,44f,How did you learn to speak French so fluently?,37,,
378,Experiment Group,alternative,7,SUB,,32,,,a,0.99,32b,The group decided on a restaurant for dinner.,38,,
378,Experiment Group,ungram,7,UNGRAM,,60,,,a,0,60f,To recipe what I do need ingredients make this?,39,,
378,Experiment Group,alternative,7,HDN,,23,,,a,1,23b,The boy plays videogames every day.,40,,
378,Experiment Group,alternative,7,LBC,,1,,,a,0.99,1b,How many cookies did you see in the jar?,41,,
378,Experiment Group,alternative,7,CSC,,12,,,a,0.98,12b,The critic dislikes the actor and who else?,42,,
378,Experiment Group,alternative,8,HDN,,22,,,a,0.99,22b,The kitten drank all of the milk.,43,,
378,Experiment Group,ungram,8,UNGRAM,,51,,,a,0.02,51f,Mechanic the that can power biofuel the does believe what?,44,,
378,Experiment Group,alternative,8,LBC,,4,,,a,0.97,4b,How many dogs did they see at the park?,45,,
378,Experiment Group,alternative,8,SUB,,33,,,a,0.99,33b,The committee agreed on the budget for the park.,46,,
378,Experiment Group,gram,8,GRAM,,49,,,a,1,49f,Who is responsible for cleaning up the mess in the kitchen?,47,,
378,Experiment Group,alternative,8,CSC,,11,,,a,0.99,11b,The farmer harvested corn and what else?,48,,
378,Experiment Group,alternative,9,HDN,,21,,,a,0.96,21b,The child surely ate the chocolate cake.,49,,
378,Experiment Group,ungram,9,UNGRAM,,57,,,a,0,57f,What the neighborhood the outage in caused sudden power?,50,,
378,Experiment Group,gram,9,GRAM,,44,,,a,1,44f,How did you learn to speak French so fluently?,51,,
378,Experiment Group,alternative,9,SUB,,35,,,a,1,35b,The family compromised on where to go for vacation.,52,,
378,Experiment Group,alternative,9,LBC,,5,,,a,0.98,5b,How many books did you fit in your locker?,53,,
378,Experiment Group,alternative,9,CSC,,13,,,a,0.99,13b,The captain brought a map and what else?,54,,
378,Experiment Group,alternative,10,SUB,,34,,,a,1,34b,The bride insisted on this venue for her wedding.,55,,
378,Experiment Group,ungram,10,UNGRAM,,55,,,a,0,55f,Lead pianist to what claim the does believe that can practice?,56,,
378,Experiment Group,alternative,10,HDN,,25,,,a,0.99,25b,The citizens voted on the new bill.,57,,
378,Experiment Group,alternative,10,CSC,,15,,,a,1,15b,The woman listens to the Beatles and who else?,58,,
378,Experiment Group,alternative,10,LBC,,2,,,a,1,2b,How many pills do you take in a day?,59,,
378,Experiment Group,gram,10,GRAM,,45,,,a,1,45f,When will the new product be released?,60,,
563,Experiment Group,,,,,,practice_good,practice_good,,0.99,,,0,0,
563,Experiment Group,,,,,,practice_bad,practice_bad,,0.03,,,0,0,
563,Experiment Group,alternative,1,CSC,,11,,,b,0.75,11b,The farmer harvested corn and what else?,1,,
563,Experiment Group,ungram,1,UNGRAM,,59,,,b,0.03,59f,Of charge the who in is organizing charity event?,2,,
563,Experiment Group,alternative,1,SUB,,35,,,b,0.92,35b,The family compromised on where to go for vacation.,3,,
563,Experiment Group,alternative,1,LBC,,4,,,b,0.96,4b,How many dogs did they see at the park?,4,,
563,Experiment Group,gram,1,GRAM,,47,,,b,0.96,47f,Where did you go for your last vacation?,5,,
563,Experiment Group,alternative,1,HDN,,25,,,b,0.95,25b,The citizens voted on the new bill.,6,,
563,Experiment Group,alternative,2,LBC,,1,,,b,0.95,1b,How many cookies did you see in the jar?,7,,
563,Experiment Group,gram,2,GRAM,,43,,,b,0.98,43f,What are you planning to do this weekend?,8,,
563,Experiment Group,ungram,2,UNGRAM,,55,,,b,0.02,55f,Lead pianist to what claim the does believe that can practice?,9,,
563,Experiment Group,alternative,2,SUB,,34,,,b,0.98,34b,The bride insisted on this venue for her wedding.,10,,
563,Experiment Group,alternative,2,CSC,,12,,,b,0.9,12b,The critic dislikes the actor and who else?,11,,
563,Experiment Group,alternative,2,HDN,,22,,,b,0.87,22b,The kitten drank all of the milk.,12,,
563,Experiment Group,alternative,3,LBC,,5,,,b,0.99,5b,How many books did you fit in your locker?,13,,
563,Experiment Group,alternative,3,SUB,,33,,,b,0.98,33b,The committee agreed on the budget for the park.,14,,
563,Experiment Group,gram,3,GRAM,,50,,,b,0.9,50f,How did they solve the problem with the leaking roof?,15,,
563,Experiment Group,alternative,3,CSC,,13,,,b,0.97,13b,The captain brought a map and what else?,16,,
563,Experiment Group,alternative,3,HDN,,24,,,b,0.98,24b,The tourist visited her favorite restaurant.,17,,
563,Experiment Group,ungram,3,UNGRAM,,51,,,b,0.01,51f,Mechanic the that can power biofuel the does believe what?,18,,
563,Experiment Group,alternative,4,LBC,,2,,,b,0.97,2b,How many pills do you take in a day?,19,,
563,Experiment Group,alternative,4,HDN,,23,,,b,0.93,23b,The boy plays videogames every day.,20,,
563,Experiment Group,ungram,4,UNGRAM,,53,,,b,0.03,53f,Special commander does spy the initiated the what believe that?,21,,
563,Experiment Group,alternative,4,SUB,,32,,,b,0.97,32b,The group decided on a restaurant for dinner.,22,,
563,Experiment Group,gram,4,GRAM,,45,,,b,0.98,45f,When will the new product be released?,23,,
563,Experiment Group,alternative,4,CSC,,14,,,b,0.97,14b,The boy purchased milk and what else?,24,,
563,Experiment Group,alternative,5,CSC,,15,,,b,0.95,15b,The woman listens to the Beatles and who else?,25,,
563,Experiment Group,alternative,5,SUB,,31,,,b,0.98,31b,The policeman relied on his instincts to catch the thief.,26,,
563,Experiment Group,alternative,5,LBC,,3,,,b,0.99,3b,How many books do you read in a year?,27,,
563,Experiment Group,ungram,5,UNGRAM,,60,,,b,0.02,60f,To recipe what I do need ingredients make this?,28,,
563,Experiment Group,gram,5,GRAM,,43,,,b,0.97,43f,What are you planning to do this weekend?,29,,
563,Experiment Group,alternative,5,HDN,,21,,,b,0.69,21b,The child surely ate the chocolate cake.,30,,
563,Experiment Group,target,6,CSC,,11,,,b,0.37,11a,What did the farmer harvest corn and?,31,,
563,Experiment Group,target,6,HDN,,22,,,b,0.03,22a,The kitten all of the milk drank.,32,,
563,Experiment Group,ungram,6,UNGRAM,,59,,,b,0.01,59f,Of charge the who in is organizing charity event?,33,,
563,Experiment Group,gram,6,GRAM,,43,,,b,0.99,43f,What are you planning to do this weekend?,34,,
563,Experiment Group,target,6,LBC,,1,,,b,0,1a,How many did you see cookies in the jar?,35,,
563,Experiment Group,target,6,SUB,,34,,,b,0.63,34a,The bride insisted for this venue for her wedding.,36,,
563,Experiment Group,target,7,CSC,,14,,,b,0.05,14a,What did the boy purchase milk and?,37,,
563,Experiment Group,target,7,SUB,,33,,,b,0.03,33a,The committee agreed for the budget for the park.,38,,
563,Experiment Group,target,7,HDN,,24,,,b,0.03,24a,The tourist her favorite restaurant visited.,39,,
563,Experiment Group,gram,7,GRAM,,41,,,b,0.97,41f,Who is going to the party tonight?,40,,
563,Experiment Group,ungram,7,UNGRAM,,51,,,b,0.04,51f,Mechanic the that can power biofuel the does believe what?,41,,
563,Experiment Group,target,7,LBC,,2,,,b,0.02,2a,How many do you take pills in a day?,42,,
563,Experiment Group,target,8,HDN,,25,,,b,0.03,25a,The citizens the new bill voted on.,43,,
563,Experiment Group,target,8,LBC,,3,,,b,0.03,3a,How many do you read books in a year?,44,,
563,Experiment Group,gram,8,GRAM,,45,,,b,0.98,45f,When will the new product be released?,45,,
563,Experiment Group,target,8,CSC,,15,,,b,0.05,15a,Who does the woman listen to the Beatles and?,46,,
563,Experiment Group,target,8,SUB,,35,,,b,0.52,35a,The family compromised for where to go for vacation.,47,,
563,Experiment Group,ungram,8,UNGRAM,,58,,,b,0.01,58f,Long how does it take to airport to drive the?,48,,
563,Experiment Group,target,9,SUB,,31,,,b,0.03,31a,The policeman relied for his instincts to catch the thief.,49,,
563,Experiment Group,ungram,9,UNGRAM,,56,,,b,0.01,56f,Arriving at the when station next train is the?,50,,
563,Experiment Group,target,9,HDN,,23,,,b,0.01,23a,The boy video games plays every day.,51,,
563,Experiment Group,gram,9,GRAM,,46,,,b,1,46f,Where did you find the missing keys?,52,,
563,Experiment Group,target,9,CSC,,12,,,b,0.02,12a,Who does the critic dislike the actor and?,53,,
563,Experiment Group,target,9,LBC,,4,,,b,0.03,4a,How many did they see dogs at the park?,54,,
563,Experiment Group,gram,10,GRAM,,41,,,b,0.99,41f,Who is going to the party tonight?,55,,
563,Experiment Group,target,10,SUB,,32,,,b,0.02,32a,The group decided for a restaurant for dinner.,56,,
563,Experiment Group,ungram,10,UNGRAM,,59,,,b,0.03,59f,Of charge the who in is organizing charity event?,57,,
563,Experiment Group,target,10,HDN,,21,,,b,0.01,21a,The child surely the chocolate cake ate.,58,,
563,Experiment Group,target,10,CSC,,13,,,b,0,13a,What did the captain bring a map and?,59,,
563,Experiment Group,target,10,LBC,,5,,,b,0.02,5a,How many did you fit in your locker books?,60,,
601,Experiment Group,,,,,,practice_good,practice_good,,0.98,,,0,0,
601,Experiment Group,,,,,,practice_bad,practice_bad,,0.02,,,0,0,
601,Experiment Group,ungram,1,UNGRAM,,54,,,b,0.01,54f,Believe the does killed claim that who detective the poison?,1,,
601,Experiment Group,gram,1,GRAM,,49,,,b,0.99,49f,Who is responsible for cleaning up the mess in the kitchen?,2,,
601,Experiment Group,alternative,1,SUB,,32,,,b,0.97,32b,The group decided on a restaurant for dinner.,3,,
601,Experiment Group,alternative,1,HDN,,24,,,b,0.71,24b,The tourist visited her favorite restaurant.,4,,
601,Experiment Group,alternative,1,LBC,,2,,,b,0.99,2b,How many pills do you take in a day?,5,,
601,Experiment Group,alternative,1,CSC,,15,,,b,0.51,15b,The woman listens to the Beatles and who else?,6,,
601,Experiment Group,alternative,2,SUB,,31,,,b,0.98,31b,The policeman relied on his instincts to catch the thief.,7,,
601,Experiment Group,ungram,2,UNGRAM,,60,,,b,0.01,60f,To recipe what I do need ingredients make this?,8,,
601,Experiment Group,alternative,2,CSC,,14,,,b,0.85,14b,The boy purchased milk and what else?,9,,
601,Experiment Group,gram,2,GRAM,,46,,,b,0.99,46f,Where did you find the missing keys?,10,,
601,Experiment Group,alternative,2,HDN,,23,,,b,0.91,23b,The boy plays videogames every day.,11,,
601,Experiment Group,alternative,2,LBC,,1,,,b,0.98,1b,How many cookies did you see in the jar?,12,,
601,Experiment Group,alternative,3,CSC,,11,,,b,0.88,11b,The farmer harvested corn and what else?,13,,
601,Experiment Group,alternative,3,SUB,,34,,,b,0.98,34b,The bride insisted on this venue for her wedding.,14,,
601,Experiment Group,alternative,3,HDN,,25,,,b,0.97,25b,The citizens voted on the new bill.,15,,
601,Experiment Group,alternative,3,LBC,,4,,,b,0.93,4b,How many dogs did they see at the park?,16,,
601,Experiment Group,ungram,3,UNGRAM,,56,,,b,0.09,56f,Arriving at the when station next train is the?,17,,
601,Experiment Group,gram,3,GRAM,,47,,,b,0.97,47f,Where did you go for your last vacation?,18,,
601,Experiment Group,alternative,4,SUB,,35,,,b,0.97,35b,The family compromised on where to go for vacation.,19,,
601,Experiment Group,gram,4,GRAM,,49,,,b,0.98,49f,Who is responsible for cleaning up the mess in the kitchen?,20,,
601,Experiment Group,alternative,4,LBC,,5,,,b,0.98,5b,How many books did you fit in your locker?,21,,
601,Experiment Group,ungram,4,UNGRAM,,53,,,b,0.01,53f,Special commander does spy the initiated the what believe that?,22,,
601,Experiment Group,alternative,4,HDN,,22,,,b,0.98,22b,The kitten drank all of the milk.,23,,
601,Experiment Group,alternative,4,CSC,,12,,,b,0.93,12b,The critic dislikes the actor and who else?,24,,
601,Experiment Group,alternative,5,LBC,,3,,,b,0.99,3b,How many books do you read in a year?,25,,
601,Experiment Group,alternative,5,HDN,,21,,,b,0.95,21b,The child surely ate the chocolate cake.,26,,
601,Experiment Group,alternative,5,SUB,,33,,,b,0.98,33b,The committee agreed on the budget for the park.,27,,
601,Experiment Group,alternative,5,CSC,,13,,,b,0.94,13b,The captain brought a map and what else?,28,,
601,Experiment Group,gram,5,GRAM,,45,,,b,0.99,45f,When will the new product be released?,29,,
601,Experiment Group,ungram,5,UNGRAM,,51,,,b,0.02,51f,Mechanic the that can power biofuel the does believe what?,30,,
601,Experiment Group,target,6,SUB,,35,,,b,0.99,35a,The family compromised for where to go for vacation.,31,,
601,Experiment Group,target,6,HDN,,22,,,b,0.06,22a,The kitten all of the milk drank.,32,,
601,Experiment Group,ungram,6,UNGRAM,,52,,,b,0,52f,Do activists bribed claim officials the that the who?,33,,
601,Experiment Group,target,6,CSC,,13,,,b,0.45,13a,What did the captain bring a map and?,34,,
601,Experiment Group,target,6,LBC,,2,,,b,0.09,2a,How many do you take pills in a day?,35,,
601,Experiment Group,gram,6,GRAM,,45,,,b,0.98,45f,When will the new product be released?,36,,
601,Experiment Group,target,7,LBC,,1,,,b,0.12,1a,How many did you see cookies in the jar?,37,,
601,Experiment Group,target,7,CSC,,15,,,b,0.99,15a,Who does the woman listen to the Beatles and?,38,,
601,Experiment Group,target,7,SUB,,31,,,b,0.19,31a,The policeman relied for his instincts to catch the thief.,39,,
601,Experiment Group,target,7,HDN,,25,,,b,0.27,25a,The citizens the new bill voted on.,40,,
601,Experiment Group,gram,7,GRAM,,42,,,b,0.98,42f,Why did the price of groceries increase suddenly?,41,,
601,Experiment Group,ungram,7,UNGRAM,,54,,,b,0,54f,Believe the does killed claim that who detective the poison?,42,,
601,Experiment Group,target,8,SUB,,32,,,b,0.74,32a,The group decided for a restaurant for dinner.,43,,
601,Experiment Group,target,8,CSC,,12,,,b,0.99,12a,Who does the critic dislike the actor and?,44,,
601,Experiment Group,target,8,LBC,,4,,,b,0.27,4a,How many did they see dogs at the park?,45,,
601,Experiment Group,ungram,8,UNGRAM,,53,,,b,0,53f,Special commander does spy the initiated the what believe that?,46,,
601,Experiment Group,gram,8,GRAM,,48,,,b,0.98,48f,Who won the award for best actor at last year's Oscar?,47,,
601,Experiment Group,target,8,HDN,,21,,,b,0.01,21a,The child surely the chocolate cake ate.,48,,
601,Experiment Group,gram,9,GRAM,,48,,,b,1,48f,Who won the award for best actor at last year's Oscar?,49,,
601,Experiment Group,target,9,LBC,,3,,,b,0.28,3a,How many do you read books in a year?,50,,
601,Experiment Group,ungram,9,UNGRAM,,52,,,b,0.02,52f,Do activists bribed claim officials the that the who?,51,,
601,Experiment Group,target,9,CSC,,14,,,b,0.67,14a,What did the boy purchase milk and?,52,,
601,Experiment Group,target,9,SUB,,34,,,b,0.99,34a,The bride insisted for this venue for her wedding.,53,,
601,Experiment Group,target,9,HDN,,24,,,b,0.19,24a,The tourist her favorite restaurant visited.,54,,
601,Experiment Group,target,10,SUB,,33,,,b,0.99,33a,The committee agreed for the budget for the park.,55,,
601,Experiment Group,gram,10,GRAM,,46,,,b,0.98,46f,Where did you find the missing keys?,56,,
601,Experiment Group,ungram,10,UNGRAM,,58,,,b,0,58f,Long how does it take to airport to drive the?,57,,
601,Experiment Group,target,10,HDN,,23,,,b,0,23a,The boy video games plays every day.,58,,
601,Experiment Group,target,10,CSC,,11,,,b,0.94,11a,What did the farmer harvest corn and?,59,,
601,Experiment Group,target,10,LBC,,5,,,b,0.17,5a,How many did you fit in your locker books?,60,,
389,Experiment Group,,,,,,practice_good,practice_good,,1,,,0,0,
389,Experiment Group,,,,,,practice_bad,practice_bad,,0,,,0,0,
389,Experiment Group,target,1,CSC,,11,,,a,0.23,11a,What did the farmer harvest corn and?,1,,
389,Experiment Group,ungram,1,UNGRAM,,58,,,a,0,58f,Long how does it take to airport to drive the?,2,,
389,Experiment Group,target,1,LBC,,4,,,a,0.56,4a,How many did they see dogs at the park?,3,,
389,Experiment Group,gram,1,GRAM,,46,,,a,1,46f,Where did you find the missing keys?,4,,
389,Experiment Group,target,1,SUB,,34,,,a,0.94,34a,The bride insisted for this venue for her wedding.,5,,
389,Experiment Group,target,1,HDN,,25,,,a,0.85,25a,The citizens the new bill voted on.,6,,
389,Experiment Group,target,2,HDN,,24,,,a,0.09,24a,The tourist her favorite restaurant visited.,7,,
389,Experiment Group,target,2,LBC,,1,,,a,0.61,1a,How many did you see cookies in the jar?,8,,
389,Experiment Group,ungram,2,UNGRAM,,52,,,a,0.01,52f,Do activists bribed claim officials the that the who?,9,,
389,Experiment Group,target,2,SUB,,31,,,a,0.82,31a,The policeman relied for his instincts to catch the thief.,10,,
389,Experiment Group,gram,2,GRAM,,47,,,a,0.99,47f,Where did you go for your last vacation?,11,,
389,Experiment Group,target,2,CSC,,12,,,a,0.65,12a,Who does the critic dislike the actor and?,12,,
389,Experiment Group,target,3,SUB,,33,,,a,0.93,33a,The committee agreed for the budget for the park.,13,,
389,Experiment Group,ungram,3,UNGRAM,,58,,,a,0.33,58f,Long how does it take to airport to drive the?,14,,
389,Experiment Group,target,3,HDN,,23,,,a,0.36,23a,The boy video games plays every day.,15,,
389,Experiment Group,gram,3,GRAM,,43,,,a,0.98,43f,What are you planning to do this weekend?,16,,
389,Experiment Group,target,3,LBC,,3,,,a,0.66,3a,How many do you read books in a year?,17,,
389,Experiment Group,target,3,CSC,,13,,,a,0.58,13a,What did the captain bring a map and?,18,,
389,Experiment Group,target,4,LBC,,5,,,a,0.4,5a,How many did you fit in your locker books?,19,,
389,Experiment Group,target,4,SUB,,35,,,a,0.89,35a,The family compromised for where to go for vacation.,20,,
389,Experiment Group,target,4,HDN,,22,,,a,0.85,22a,The kitten all of the milk drank.,21,,
389,Experiment Group,target,4,CSC,,14,,,a,0.66,14a,What did the boy purchase milk and?,22,,
389,Experiment Group,ungram,4,UNGRAM,,51,,,a,0.03,51f,Mechanic the that can power biofuel the does believe what?,23,,
389,Experiment Group,gram,4,GRAM,,47,,,a,0.98,47f,Where did you go for your last vacation?,24,,
