workerid,proliferate.condition,alt_status,block_num,condition,first_response_value,item,item_number,item_type,mode,response,sentence_id,sentence_text,trial_sequence_total,wrong_attempts,error
259,Experiment Group,alternative,3,CSC,,13,,,b,0.91,13b,The captain brought a map and what else?,18,,
259,Experiment Group,ungram,4,UNGRAM,,54,,,b,0.01,54f,Believe the does killed claim that who detective the poison?,19,,
259,Experiment Group,gram,4,GRAM,,48,,,b,0.92,48f,Who won the award for best actor at last year's Oscar?,20,,
259,Experiment Group,alternative,4,CSC,,14,,,b,0.88,14b,The boy purchased milk and what else?,21,,
259,Experiment Group,alternative,4,HDN,,23,,,b,0.98,23b,The boy plays videogames every day.,22,,
259,Experiment Group,alternative,4,SUB,,34,,,b,0.99,34b,The bride insisted on this venue for her wedding.,23,,
259,Experiment Group,alternative,4,LBC,,5,,,b,0.95,5b,How many books did you fit in your locker?,24,,
259,Experiment Group,alternative,5,LBC,,4,,,b,0.96,4b,How many dogs did they see at the park?,25,,
259,Experiment Group,alternative,5,HDN,,24,,,b,0.97,24b,The tourist visited her favorite restaurant.,26,,
259,Experiment Group,alternative,5,SUB,,31,,,b,0.98,31b,The policeman relied on his instincts to catch the thief.,27,,
259,Experiment Group,gram,5,GRAM,,42,,,b,0.98,42f,Why did the price of groceries increase suddenly?,28,,
259,Experiment Group,ungram,5,UNGRAM,,55,,,b,0.02,55f,Lead pianist to what claim the does believe that can practice?,29,,
259,Experiment Group,alternative,5,CSC,,15,,,b,0.87,15b,The woman listens to the Beatles and who else?,30,,
259,Experiment Group,target,6,LBC,,4,,,b,0.22,4a,How many did they see dogs at the park?,31,,
259,Experiment Group,target,6,HDN,,21,,,b,0.25,21a,The child surely the chocolate cake ate.,32,,
259,Experiment Group,ungram,6,UNGRAM,,51,,,b,0.13,51f,Mechanic the that can power biofuel the does believe what?,33,,
259,Experiment Group,target,6,CSC,,11,,,b,0.17,11a,What did the farmer harvest corn and?,34,,
259,Experiment Group,gram,6,GRAM,,45,,,b,0.98,45f,When will the new product be released?,35,,
259,Experiment Group,target,6,SUB,,35,,,b,0.84,35a,The family compromised for where to go for vacation.,36,,
259,Experiment Group,ungram,7,UNGRAM,,55,,,b,0.12,55f,Lead pianist to what claim the does believe that can practice?,37,,
259,Experiment Group,gram,7,GRAM,,50,,,b,0.89,50f,How did they solve the problem with the leaking roof?,38,,
259,Experiment Group,target,7,HDN,,22,,,b,0.36,22a,The kitten all of the milk drank.,39,,
259,Experiment Group,target,7,SUB,,33,,,b,0.81,33a,The committee agreed for the budget for the park.,40,,
259,Experiment Group,target,7,LBC,,2,,,b,0.31,2a,How many do you take pills in a day?,41,,
259,Experiment Group,target,7,CSC,,12,,,b,0.17,12a,Who does the critic dislike the actor and?,42,,
259,Experiment Group,target,8,SUB,,32,,,b,0.56,32a,The group decided for a restaurant for dinner.,43,,
259,Experiment Group,target,8,HDN,,25,,,b,0.33,25a,The citizens the new bill voted on.,44,,
259,Experiment Group,gram,8,GRAM,,48,,,b,0.85,48f,Who won the award for best actor at last year's Oscar?,45,,
259,Experiment Group,target,8,LBC,,1,,,b,0.3,1a,How many did you see cookies in the jar?,46,,
259,Experiment Group,target,8,CSC,,13,,,b,0.16,13a,What did the captain bring a map and?,47,,
259,Experiment Group,ungram,8,UNGRAM,,58,,,b,0.11,58f,Long how does it take to airport to drive the?,48,,
259,Experiment Group,gram,9,GRAM,,42,,,b,0.93,42f,Why did the price of groceries increase suddenly?,49,,
259,Experiment Group,target,9,LBC,,5,,,b,0.21,5a,How many did you fit in your locker books?,50,,
259,Experiment Group,target,9,SUB,,31,,,b,0.99,31a,The policeman relied for his instincts to catch the thief.,51,,
259,Experiment Group,ungram,9,UNGRAM,,51,,,b,0.18,51f,Mechanic the that can power biofuel the does believe what?,52,,
259,Experiment Group,target,9,HDN,,23,,,b,0.35,23a,The boy video games plays every day.,53,,
259,Experiment Group,target,9,CSC,,14,,,b,0.12,14a,What did the boy purchase milk and?,54,,
259,Experiment Group,ungram,10,UNGRAM,,52,,,b,0.13,52f,Do activists bribed claim officials the that the who?,55,,
259,Experiment Group,target,10,CSC,,15,,,b,0.31,15a,Who does the woman listen to the Beatles and?,56,,
259,Experiment Group,target,10,SUB,,34,,,b,0.95,34a,The bride insisted for this venue for her wedding.,57,,
259,Experiment Group,target,10,HDN,,24,,,b,0.17,24a,The tourist her favorite restaurant visited.,58,,
259,Experiment Group,gram,10,GRAM,,50,,,b,0.99,50f,How did they solve the problem with the leaking roof?,59,,
259,Experiment Group,target,10,LBC,,3,,,b,0.26,3a,How many do you read books in a year?,60,,
264,Experiment Group,,,,,,practice_good,practice_good,,0.97,,,0,0,
264,Experiment Group,,,,,,practice_bad,practice_bad,,0.01,,,0,0,
264,Experiment Group,gram,1,GRAM,,41,,,a,0.99,41f,Who is going to the party tonight?,1,,
264,Experiment Group,ungram,1,UNGRAM,,58,,,a,0,58f,Long how does it take to airport to drive the?,2,,
264,Experiment Group,target,1,SUB,,31,,,a,0.37,31a,The policeman relied for his instincts to catch the thief.,3,,
264,Experiment Group,target,1,CSC,,13,,,a,0.02,13a,What did the captain bring a map and?,4,,
264,Experiment Group,target,1,LBC,,5,,,a,0.42,5a,How many did you fit in your locker books?,5,,
264,Experiment Group,target,1,HDN,,25,,,a,0.16,25a,The citizens the new bill voted on.,6,,
264,Experiment Group,target,2,CSC,,12,,,a,0.25,12a,Who does the critic dislike the actor and?,7,,
264,Experiment Group,target,2,HDN,,24,,,a,0.14,24a,The tourist her favorite restaurant visited.,8,,
264,Experiment Group,target,2,SUB,,32,,,a,0.51,32a,The group decided for a restaurant for dinner.,9,,
264,Experiment Group,target,2,LBC,,4,,,a,0.39,4a,How many did they see dogs at the park?,10,,
264,Experiment Group,ungram,2,UNGRAM,,53,,,a,0.02,53f,Special commander does spy the initiated the what believe that?,11,,
264,Experiment Group,gram,2,GRAM,,43,,,a,0.97,43f,What are you planning to do this weekend?,12,,
264,Experiment Group,target,3,HDN,,23,,,a,0.21,23a,The boy video games plays every day.,13,,
264,Experiment Group,target,3,SUB,,33,,,a,0.51,33a,The committee agreed for the budget for the park.,14,,
264,Experiment Group,ungram,3,UNGRAM,,59,,,a,0.07,59f,Of charge the who in is organizing charity event?,15,,
264,Experiment Group,gram,3,GRAM,,45,,,a,0.98,45f,When will the new product be released?,16,,
264,Experiment Group,target,3,LBC,,2,,,a,0.29,2a,How many do you take pills in a day?,17,,
264,Experiment Group,target,3,CSC,,11,,,a,0.3,11a,What did the farmer harvest corn and?,18,,
264,Experiment Group,gram,4,GRAM,,44,,,a,0.98,44f,How did you learn to speak French so fluently?,19,,
264,Experiment Group,target,4,HDN,,22,,,a,0.14,22a,The kitten all of the milk drank.,20,,
264,Experiment Group,target,4,CSC,,15,,,a,0.22,15a,Who does the woman listen to the Beatles and?,21,,
264,Experiment Group,target,4,SUB,,35,,,a,0.5,35a,The family compromised for where to go for vacation.,22,,
264,Experiment Group,ungram,4,UNGRAM,,57,,,a,0.03,57f,What the neighborhood the outage in caused sudden power?,23,,
264,Experiment Group,target,4,LBC,,1,,,a,0.52,1a,How many did you see cookies in the jar?,24,,
264,Experiment Group,gram,5,GRAM,,46,,,a,0.99,46f,Where did you find the missing keys?,25,,
264,Experiment Group,target,5,CSC,,14,,,a,0.32,14a,What did the boy purchase milk and?,26,,
264,Experiment Group,target,5,HDN,,21,,,a,0.07,21a,The child surely the chocolate cake ate.,27,,
264,Experiment Group,target,5,LBC,,3,,,a,0.48,3a,How many do you read books in a year?,28,,
264,Experiment Group,target,5,SUB,,34,,,a,0.51,34a,The bride insisted for this venue for her wedding.,29,,
264,Experiment Group,ungram,5,UNGRAM,,55,,,a,0.03,55f,Lead pianist to what claim the does believe that can practice?,30,,
264,Experiment Group,ungram,6,UNGRAM,,53,,,a,0.02,53f,Special commander does spy the initiated the what believe that?,31,,
264,Experiment Group,alternative,6,HDN,,25,,,a,0.99,25b,The citizens voted on the new bill.,32,,
264,Experiment Group,gram,6,GRAM,,49,,,a,1,49f,Who is responsible for cleaning up the mess in the kitchen?,33,,
264,Experiment Group,alternative,6,LBC,,1,,,a,0.98,1b,How many cookies did you see in the jar?,34,,
264,Experiment Group,alternative,6,SUB,,33,,,a,0.98,33b,The committee agreed on the budget for the park.,35,,
264,Experiment Group,alternative,6,CSC,,12,,,a,0.93,12b,The critic dislikes the actor and who else?,36,,
264,Experiment Group,alternative,7,CSC,,14,,,a,0.94,14b,The boy purchased milk and what else?,37,,
264,Experiment Group,alternative,7,SUB,,35,,,a,0.97,35b,The family compromised on where to go for vacation.,38,,
264,Experiment Group,alternative,7,HDN,,22,,,a,0.98,22b,The kitten drank all of the milk.,39,,
264,Experiment Group,gram,7,GRAM,,42,,,a,0.98,42f,Why did the price of groceries increase suddenly?,40,,
264,Experiment Group,ungram,7,UNGRAM,,52,,,a,0.17,52f,Do activists bribed claim officials the that the who?,41,,
264,Experiment Group,alternative,7,LBC,,4,,,a,0.99,4b,How many dogs did they see at the park?,42,,
264,Experiment Group,gram,8,GRAM,,41,,,a,0.98,41f,Who is going to the party tonight?,43,,
264,Experiment Group,ungram,8,UNGRAM,,53,,,a,0,53f,Special commander does spy the initiated the what believe that?,44,,
264,Experiment Group,alternative,8,LBC,,2,,,a,0.99,2b,How many pills do you take in a day?,45,,
264,Experiment Group,alternative,8,SUB,,32,,,a,0.97,32b,The group decided on a restaurant for dinner.,46,,
264,Experiment Group,alternative,8,CSC,,13,,,a,0.92,13b,The captain brought a map and what else?,47,,
264,Experiment Group,alternative,8,HDN,,24,,,a,0.99,24b,The tourist visited her favorite restaurant.,48,,
264,Experiment Group,gram,9,GRAM,,41,,,a,0.98,41f,Who is going to the party tonight?,49,,
264,Experiment Group,alternative,9,CSC,,15,,,a,0.92,15b,The woman listens to the Beatles and who else?,50,,
264,Experiment Group,alternative,9,HDN,,21,,,a,0.98,21b,The child surely ate the chocolate cake.,51,,
264,Experiment Group,ungram,9,UNGRAM,,53,,,a,0.01,53f,Special commander does spy the initiated the what believe that?,52,,
264,Experiment Group,alternative,9,SUB,,31,,,a,1,31b,The policeman relied on his instincts to catch the thief.,53,,
264,Experiment Group,alternative,9,LBC,,3,,,a,0.98,3b,How many books do you read in a year?,54,,
264,Experiment Group,alternative,10,LBC,,5,,,a,0.97,5b,How many books did you fit in your locker?,55,,
264,Experiment Group,alternative,10,SUB,,34,,,a,0.98,34b,The bride insisted on this venue for her wedding.,56,,
264,Experiment Group,ungram,10,UNGRAM,,60,,,a,0.03,60f,To recipe what I do need ingredients make this?,57,,
264,Experiment Group,gram,10,GRAM,,50,,,a,0.94,50f,How did they solve the problem with the leaking roof?,58,,
264,Experiment Group,alternative,10,CSC,,11,,,a,0.87,11b,The farmer harvested corn and what else?,59,,
264,Experiment Group,alternative,10,HDN,,23,,,a,0.98,23b,The boy plays videogames every day.,60,,
263,Experiment Group,,,,,,practice_good,practice_good,,0.78,,,0,0,
263,Experiment Group,,,,,,practice_bad,practice_bad,,0.04,,,0,0,
263,Experiment Group,alternative,1,SUB,,35,,,b,0.91,35b,The family compromised on where to go for vacation.,1,,
263,Experiment Group,alternative,1,HDN,,23,,,b,0.89,23b,The boy plays videogames every day.,2,,
263,Experiment Group,alternative,1,LBC,,1,,,b,0.81,1b,How many cookies did you see in the jar?,3,,
263,Experiment Group,gram,1,GRAM,,47,,,b,0.1,47f,Where did you go for your last vacation?,4,,
263,Experiment Group,ungram,1,UNGRAM,,59,,,b,0.27,59f,Of charge the who in is organizing charity event?,5,,
263,Experiment Group,alternative,1,CSC,,15,,,b,0.96,15b,The woman listens to the Beatles and who else?,6,,
263,Experiment Group,alternative,2,HDN,,25,,,b,0.98,25b,The citizens voted on the new bill.,7,,
263,Experiment Group,gram,2,GRAM,,44,,,b,0.04,44f,How did you learn to speak French so fluently?,8,,
263,Experiment Group,alternative,2,CSC,,12,,,b,0.96,12b,The critic dislikes the actor and who else?,9,,
263,Experiment Group,alternative,2,SUB,,34,,,b,0.64,34b,The bride insisted on this venue for her wedding.,10,,
263,Experiment Group,ungram,2,UNGRAM,,53,,,b,0.73,53f,Special commander does spy the initiated the what believe that?,11,,
263,Experiment Group,alternative,2,LBC,,2,,,b,0.23,2b,How many pills do you take in a day?,12,,
263,Experiment Group,alternative,3,CSC,,11,,,b,0.66,11b,The farmer harvested corn and what else?,13,,
263,Experiment Group,alternative,3,HDN,,24,,,b,1,24b,The tourist visited her favorite restaurant.,14,,
263,Experiment Group,alternative,3,SUB,,32,,,b,0.66,32b,The group decided on a restaurant for dinner.,15,,
263,Experiment Group,gram,3,GRAM,,45,,,b,0.19,45f,When will the new product be released?,16,,
263,Experiment Group,alternative,3,LBC,,5,,,b,0.82,5b,How many books did you fit in your locker?,17,,
263,Experiment Group,ungram,3,UNGRAM,,55,,,b,0.9,55f,Lead pianist to what claim the does believe that can practice?,18,,
263,Experiment Group,alternative,4,SUB,,31,,,b,0.47,31b,The policeman relied on his instincts to catch the thief.,19,,
263,Experiment Group,gram,4,GRAM,,41,,,b,0.12,41f,Who is going to the party tonight?,20,,
263,Experiment Group,alternative,4,LBC,,4,,,b,0.7,4b,How many dogs did they see at the park?,21,,
